fill	x	y	showSelected1	showSelected2
#F8766D	4.6037566915339	4.97921956095727	1	1
#00BA38	5.49666206546394	4.9291661459973	1	2
#619CFF	0.714779997095535	0.821419154213953	1	3
#F8766D	3.02237912814927	3.11641300269002	2	1
#00BA38	5.99659178434083	6.09978030366025	2	2
#619CFF	0.496123474988798	0.569042064582412	2	3
#F8766D	2.89843982674012	3.01552273485707	3	1
#00BA38	5.99659178434083	6.09978030366025	3	2
#619CFF	0.0137614196394282	0.0585633072695371	3	3
#F8766D	2.89843982674012	3.01552273485707	4	1
#00BA38	5.99659178434083	6.09978030366025	4	2
#619CFF	0.0137614196394282	0.0585633072695371	4	3
#F8766D	2.89843982674012	3.01552273485707	5	1
#00BA38	5.99659178434083	6.09978030366025	5	2
#619CFF	0.0137614196394282	0.0585633072695371	5	3
#F8766D	2.89843982674012	3.01552273485707	6	1
#00BA38	5.99659178434083	6.09978030366025	6	2
#619CFF	0.0137614196394282	0.0585633072695371	6	3
#F8766D	2.89843982674012	3.01552273485707	7	1
#00BA38	5.99659178434083	6.09978030366025	7	2
#619CFF	0.0137614196394282	0.0585633072695371	7	3
#F8766D	2.89843982674012	3.01552273485707	8	1
#00BA38	5.99659178434083	6.09978030366025	8	2
#619CFF	0.0137614196394282	0.0585633072695371	8	3
#F8766D	2.89843982674012	3.01552273485707	9	1
#00BA38	5.99659178434083	6.09978030366025	9	2
#619CFF	0.0137614196394282	0.0585633072695371	9	3
#F8766D	2.89843982674012	3.01552273485707	10	1
#00BA38	5.99659178434083	6.09978030366025	10	2
#619CFF	0.0137614196394282	0.0585633072695371	10	3
